ZIP_Code,Restaurant_Name,Rating,Review_Count,Price_Level,Latitude,Longitude,Category,Neighborhood,Address,Price_Label,Rating_Category,Review_Volume,Restaurants_in_ZIP,ZIP_Avg_Rating,Restaurants_in_Neighborhood,Neighborhood_Avg_Rating,Market_Saturation_Index,Market_Opportunity
90210,Avra Beverly Hills,4.5,2001,4.0,34.067786,-118.400167,Food,Beverly Hills,"233 N Beverly Dr, Beverly Hills, CA 90210, USA",$$$$,Excellent (4.5+),High Volume (1000+),18,4.388888888888889,20,4.3950000000000005,0.891,Standard Market
90210,The Rooftop Beverly Hills,4.4,867,2.0,34.066718,-118.41146,Food,Beverly Hills,"9850 Wilshire Blvd, Beverly Hills, CA 90210, USA",$$,Very Good (4.0-4.4),Medium Volume (500-999),18,4.388888888888889,20,4.3950000000000005,0.891,Standard Market
90210,Bacari Beverly Hills,4.5,137,2.0,34.06854,-118.404224,Wine Bar,Beverly Hills,"9601 Brighton Way, Beverly Hills, CA 90210, USA",$$,Excellent (4.5+),Low Volume (100-499),18,4.388888888888889,20,4.3950000000000005,0.891,Standard Market
90210,Dante Beverly Hills,4.3,260,,34.068126,-118.398597,Food,Beverly Hills,"225 N Canon Dr, Beverly Hills, CA 90210, USA",Unknown,Very Good (4.0-4.4),Low Volume (100-499),18,4.388888888888889,20,4.3950000000000005,0.891,Standard Market
90210,Novikov Beverly Hills,4.4,610,4.0,34.068601,-118.399423,Food,Beverly Hills,"257 N Canon Dr, Beverly Hills, CA 90210, USA",$$$$,Very Good (4.0-4.4),Medium Volume (500-999),18,4.388888888888889,20,4.3950000000000005,0.891,Standard Market
90210,Cavcas Beverly Hills,4.8,244,,34.069957,-118.400572,Food,Beverly Hills,"345 N Canon Dr, Beverly Hills, CA 90210, USA",Unknown,Excellent (4.5+),Low Volume (100-499),18,4.388888888888889,20,4.3950000000000005,0.891,Standard Market
90210,Il Pastaio,4.4,2469,3.0,34.070841,-118.400882,Food,Beverly Hills,"400 N Canon Dr, Beverly Hills, CA 90210, USA",$$$,Very Good (4.0-4.4),High Volume (1000+),18,4.388888888888889,20,4.3950000000000005,0.891,Standard Market
90210,Nua,4.5,338,2.0,34.071224,-118.400335,Food,Beverly Hills,"403 N Crescent Dr, Beverly Hills, CA 90210, USA",$$,Excellent (4.5+),Low Volume (100-499),18,4.388888888888889,20,4.3950000000000005,0.891,Standard Market
90210,The Hideaway Beverly Hills,4.3,557,,34.06958,-118.403805,Steak House,Beverly Hills,"421 N Rodeo Dr, Beverly Hills, CA 90210, USA",Unknown,Very Good (4.0-4.4),Medium Volume (500-999),18,4.388888888888889,20,4.3950000000000005,0.891,Standard Market
90210,Porta Via Beverly Hills,4.3,564,2.0,34.071242,-118.401275,Night Club,Beverly Hills,"424 N Canon Dr, Beverly Hills, CA 90210, USA",$$,Very Good (4.0-4.4),Medium Volume (500-999),18,4.388888888888889,20,4.3950000000000005,0.891,Standard Market
