ZIP_Code,Restaurant_Name,Rating,Review_Count,Price_Level,Latitude,Longitude,Category,Neighborhood,Address
90210,Avra Beverly Hills,4.5,1992,4.0,34.067786,-118.400167,Food,Beverly Hills,"233 N Beverly Dr, Beverly Hills, CA 90210, USA"
90210,The Rooftop Beverly Hills,4.4,858,2.0,34.066718,-118.41146,Food,Beverly Hills,"9850 Wilshire Blvd, Beverly Hills, CA 90210, USA"
90210,Bacari Beverly Hills,4.5,132,2.0,34.06854,-118.404224,Wine Bar,Beverly Hills,"9601 Brighton Way, Beverly Hills, CA 90210, USA"
90210,Dante Beverly Hills,4.3,254,,34.068126,-118.398597,Food,Beverly Hills,"225 N Canon Dr, Beverly Hills, CA 90210, USA"
90210,The Hideaway Beverly Hills,4.3,548,,34.06958,-118.403805,Steak House,Beverly Hills,"421 N Rodeo Dr, Beverly Hills, CA 90210, USA"
90210,CAVCAS Beverly Hills,4.8,243,,34.069957,-118.400572,Food,Beverly Hills,"345 N Canon Dr, Beverly Hills, CA 90210, USA"
90210,Novikov Beverly Hills,4.4,602,4.0,34.068601,-118.399423,Food,Beverly Hills,"257 N Canon Dr, Beverly Hills, CA 90210, USA"
90210,Nua,4.5,336,2.0,34.071224,-118.400335,Food,Beverly Hills,"403 N Crescent Dr, Beverly Hills, CA 90210, USA"
90210,Il Fornaio,4.3,1246,2.0,34.068526,-118.400838,Food,Beverly Hills,"301 N Beverly Dr, Beverly Hills, CA 90210, USA"
90210,Porta Via Beverly Hills,4.3,564,2.0,34.071242,-118.401275,Night Club,Beverly Hills,"424 N Canon Dr, Beverly Hills, CA 90210, USA"
90210,Spago,4.5,1752,4.0,34.067647,-118.397572,Banquet Hall,Beverly Hills,"176 N Canon Dr, Beverly Hills, CA 90210, USA"
90212,Ocean Prime,4.5,1319,3.0,34.0674,-118.402523,Night Club,Beverly Hills,"9595 Wilshire Blvd, Beverly Hills, CA 90212, USA"
90210,Wally's Beverly Hills,4.3,1349,3.0,34.071309,-118.401927,Food,Beverly Hills,"447 N Canon Dr, Beverly Hills, CA 90210, USA"
90210,Il Pastaio,4.4,2458,3.0,34.070841,-118.400882,Food,Beverly Hills,"400 N Canon Dr, Beverly Hills, CA 90210, USA"
90210,208 Rodeo,4.0,1225,2.0,34.067423,-118.400763,Food,Beverly Hills,"208 N Rodeo Dr, Beverly Hills, CA 90210, USA"
90210,Cipriani Beverly Hills,3.7,299,,34.068398,-118.403577,Bar,Beverly Hills,"362 N Camden Dr, Beverly Hills, CA 90210, USA"
90210,"Crustacean Restaurant Beverly Hills, CA - Brunch, Lunch & Fine Dining",4.4,1056,3.0,34.069155,-118.406032,Food,Beverly Hills,"468 N Bedford Dr, Beverly Hills, CA 90210, USA"
